,H2,CH4,CO2,Acetate,Propionate,Isobutyrate,Butyrate,Fiber_uptake,Fiber_input,Fiber_left
3-Cell-GC,-0.002041857,-1.80E-07,0.004778161,0.021752667,0.002152333,0.000454667,0.004366667,0.22,0.22,0
4-Cell-GC,3.33E-05,0.001638687,-0.001351734,0.006229333,-0.000849333,-7.07E-05,-0.000596667,0.22,0.22,0
5-Cell-GC,0.001076357,-6.38E-06,0.008752444,0.007654667,-0.002436667,-0.000636,0.000130667,0.22,0.22,0
6-Cell-GC,-0.001792688,-2.14E-05,0.000809193,0.004228,0.000276,-6.87E-05,-0.001412667,0.22,0.22,0
7-Cell-GC,-0.000588158,-5.93E-06,0.00140387,-0.005481333,-0.001056667,-0.000139333,-0.000733333,0.22,0.22,0
8-Cell-GC,0.000263945,3.88E-06,0.00471139,0.001734,0.000484,-4.73E-05,0.000282,0.22,0.22,0
9-Cell-GC,-0.000207063,0.001926043,0.001285787,0.00458,0.000127333,-7.47E-05,0.000221333,0.22,0.22,0
HH-Cell-GC,-0.000632775,-4.98E-06,0.002330353,0.003050667,-0.000850667,-0.000208,-0.00135,0.22,0.22,0
II-Cell-GC,-0.001131171,1.38E-06,0.002794218,0.007902667,0.002043333,-0.000012,0.002594,0.22,0.22,0
3-Inul-GC,0.061365959,2.24E-06,0.103689537,0.033978667,0.014349,-0.000382667,0.068780667,0.109842593,0.11,0.000157407
4-Inul-GC,0.000900619,0.018665282,0.092627604,0.081104,0.019032,-0.000621333,0.032703333,0.109097593,0.11,0.000902407
5-Inul-GC,0.017107376,-3.41E-06,0.11070688,0.047345333,0.004974667,-0.000994667,0.084236,0.109767963,0.11,0.000232037
6-Inul-GC,0.057453406,0.001581695,0.110584535,0.003860667,0.008109333,-0.000138667,0.101424667,0.109236111,0.11,0.000763889
7-Inul-GC,0.032081548,0.00051813,0.105358732,-0.044105667,0.003408667,-0.001236333,0.084299667,0.109616852,0.11,0.000383148
8-Inul-GC,0.021934118,0.000544273,0.074779359,0.034802667,0.011073333,-4.67E-06,0.053057333,0.098888889,0.11,0.011111111
9-Inul-GC,0.000674835,0.012637322,0.119002513,0.04683,0.027002667,0.000261333,0.063717333,0.109972778,0.11,2.72E-05
HH-Inul-GC,0.036454922,0.000536784,0.100491683,0.010633333,0.001122667,-0.001048667,0.05745,0.098888889,0.11,0.011111111
II-Inul-GC,0.017316955,0.000897307,0.101281438,-0.018026,0.033458667,-0.000312667,0.089926,0.107487407,0.11,0.002512593
3-Pect-GC,0.000292418,-5.81E-06,0.047256302,0.061134667,0.011286333,0.000052,0.027668,0.051,0.051,0
4-Pect-GC,2.94E-05,0.007978642,0.037690694,0.060896667,0.004050667,-0.000556,0.004603333,0.051,0.051,0
5-Pect-GC,0.000183149,-3.06E-06,0.058429663,0.03374,0.002812,-0.000994,0.011870667,0.051,0.051,0
6-Pect-GC,0.001415807,-1.90E-05,0.052752872,0.040564,0.006042,-5.47E-05,0.033688,0.051,0.051,0
7-Pect-GC,-0.000386813,-1.17E-05,0.041207351,0.027339333,0.002863333,-0.000790667,0.016729333,0.051,0.051,0
8-Pect-GC,0.002601076,-8.84E-06,0.048421601,0.031511333,0.00313,-0.000174,0.026213333,0.051,0.051,0
9-Pect-GC,-8.30E-05,0.009825915,0.058296622,0.049352667,0.003006667,-7.53E-05,0.007382,0.051,0.051,0
HH-Pect-GC,0.000518334,-3.85E-06,0.049599369,0.028832,9.93E-05,-0.000621333,0.020216,0.051,0.051,0
II-Pect-GC,-0.002631021,1.90E-06,0.051496062,0.031065333,0.005608,-0.000328667,0.033100667,0.051,0.051,0
